chr	start	end	size	chr.arm	sgmt	sgmt.value	sampleID
seq1	0	100	100	seq1.p	1	-0.61706677106035	toyT
seq1	100	200	100	seq1.p	1	-0.61706677106035	toyT
seq1	200	300	100	seq1.p	1	-0.61706677106035	toyT
seq1	300	400	100	seq1.p	1	-0.61706677106035	toyT
seq1	400	500	100	seq1.p	2	0	toyT
seq1	500	600	100	seq1.p	2	0	toyT
seq1	600	700	100	seq1.p	2	0	toyT
seq1	700	800	100	seq1.c	NA	NA	toyT
seq1	800	900	100	seq1.c	NA	NA	toyT
seq1	900	1000	100	seq1.q	4	-0.53959132256147	toyT
seq1	1000	1100	100	seq1.q	4	-0.53959132256147	toyT
seq1	1100	1200	100	seq1.q	4	-0.53959132256147	toyT
seq1	1200	1300	100	seq1.q	4	-0.53959132256147	toyT
seq1	1300	1400	100	seq1.q	4	-0.53959132256147	toyT
seq1	1400	1575	175	seq1.q	4	-0.53959132256147	toyT
seq2	0	100	100	seq2.p	5	0.414427581193092	toyT
seq2	100	200	100	seq2.p	5	0.414427581193092	toyT
seq2	200	300	100	seq2.p	5	0.414427581193092	toyT
seq2	300	400	100	seq2.p	5	0.414427581193092	toyT
seq2	400	500	100	seq2.p	5	0.414427581193092	toyT
seq2	500	600	100	seq2.c	NA	NA	toyT
seq2	600	700	100	seq2.c	NA	NA	toyT
seq2	700	800	100	seq2.q	7	0	toyT
seq2	800	900	100	seq2.q	7	0	toyT
seq2	900	1000	100	seq2.q	7	0	toyT
seq2	1000	1100	100	seq2.q	8	-0.0848469723098025	toyT
seq2	1100	1200	100	seq2.q	8	-0.0848469723098025	toyT
seq2	1200	1300	100	seq2.q	8	-0.0848469723098025	toyT
seq2	1300	1400	100	seq2.q	8	-0.0848469723098025	toyT
seq2	1400	1584	184	seq2.q	8	-0.0848469723098025	toyT
seq1	0	100	100	seq1.p	1	0	toyN
seq1	100	200	100	seq1.p	1	0	toyN
seq1	200	300	100	seq1.p	1	0	toyN
seq1	300	400	100	seq1.p	1	0	toyN
seq1	400	500	100	seq1.p	1	0	toyN
seq1	500	600	100	seq1.p	1	0	toyN
seq1	600	700	100	seq1.p	1	0	toyN
seq1	700	800	100	seq1.c	NA	NA	toyN
seq1	800	900	100	seq1.c	NA	NA	toyN
seq1	900	1000	100	seq1.q	3	0	toyN
seq1	1000	1100	100	seq1.q	3	0	toyN
seq1	1100	1200	100	seq1.q	3	0	toyN
seq1	1200	1300	100	seq1.q	3	0	toyN
seq1	1300	1400	100	seq1.q	3	0	toyN
seq1	1400	1575	175	seq1.q	3	0	toyN
seq2	0	100	100	seq2.p	3	0	toyN
seq2	100	200	100	seq2.p	3	0	toyN
seq2	200	300	100	seq2.p	3	0	toyN
seq2	300	400	100	seq2.p	3	0	toyN
seq2	400	500	100	seq2.p	3	0	toyN
seq2	500	600	100	seq2.c	NA	NA	toyN
seq2	600	700	100	seq2.c	NA	NA	toyN
seq2	700	800	100	seq2.q	5	0	toyN
seq2	800	900	100	seq2.q	5	0	toyN
seq2	900	1000	100	seq2.q	5	0	toyN
seq2	1000	1100	100	seq2.q	5	0	toyN
seq2	1100	1200	100	seq2.q	5	0	toyN
seq2	1200	1300	100	seq2.q	5	0	toyN
seq2	1300	1400	100	seq2.q	5	0	toyN
seq2	1400	1584	184	seq2.q	5	0	toyN
